3D small cj84ru87u.3bp6dj94cj84a86？	3D small 畫家有人會畫嗎？
y94u6j0 53ul4su3g. bj4e.4 high ej03co 2l42. s/6e.4vm04ul4	在台灣只要你收入夠 high 幹黑道都能夠炫耀
rul sm3u.3u4su/4cj8 g6j04n41u4(z. c06tj eji61u4) normal a86?	交女友一年花十萬台幣(不含出國費) normal 嗎?
ji3 sell cp32ji sm3g/ 2u 2j/ vu  1j4m/4xu;4j04 2. b;4w8 rul42k6xu;3j04	我 sell 很多女生的東西 不用兩萬 都讓她覺得兩萬
lunch t eji3wu, x962o3ru6a86？？？, ,6！	lunch 吃鍋貼來得及嗎？？？欸欸！
o3n0  small 87c06 ,6o39 ,49 ,3o o493o4o o 93, vu,4vu,4	欸三 small 啊幹 欸欸欸欸欸欸欸欸欸欸欸欸欸欸欸欸
ck zj65j/ jp6vu4cji7t/62945j/ jp6vu4sk6ek35j/ jp6 good	哈佛中文系和成大中文系那個中文 good
t/6284u6jp6vu41u4vul4 good 5/4ao41u4vul42ji 	成大台文系比較 good 正妹比較多
nji3u35o4qu0 vu;31ul3286gp6ak7? 1j4ru.4g45j/4eji6 good 1;41;4a84	所以這篇想表達什麼? 不就是中國 good 棒棒嗎
el4vm/6 small 54g6：dp35/ xu3el4vm/6cp3m04	高雄 small 知識：墾丁離高雄很遠
u.4ao6jo3tj g0 2u xu3u6m,42jo42.  full 294ru/42u618 ej84	有沒有出山的禮儀樂隊都 full 帶勁的八卦
good fu6wj06xk45jo42j g4su06fu/ ao4y7，up m,4g4let it go	good 幾團樂隊都是年輕妹子，音樂是let it go
5k4vu;41u3tk4 tool bp6j6z831; ao4y35j8 ，cp3dk3xu06	這樣肥宅 tool 人無法幫妹子抓，很可憐
1j453g4c93j03 eji6so4cji4mp4u6nk483 j4xu.6u,42.  fast qu hl n3xul3	不只是海關 國內貨運也塞啊 物流業都 fast 被操死了
g/ t03hjp aup6ul4m/4u g84su35 2l4a86? ru4g61j453hjp aup6 pull	生產村民要用一哈你知道嗎? 其實不只村民 pull
nj04ru;32k72. 9.2，e042ul4ru;3b06c.4al6 fast xk4wu, xu/3u6j0 	選蔣的都9.2，幹掉蔣然後毛 fast 樂占領台灣
56vu,6s86fm up6vu/4ru.4 good xul3k3 up6c;4dj941; su3zp 	直接拿去銀行就 good 了阿 銀行會幫你分
small Ax84	small A辣
good dk394 pretty zj hj4x8 ！	good 可愛 pretty 不錯啦！
wji65 2l4dj u.3m/4g4up jo4 small g6c.4wji6u6dj su3ru.4wji3vu,6 54ul xul4	他知道哭有用是因為 small 時候他一哭你就妥協 制約了
jo3ao6jo3fm4ao3eji61u4 buy g6ak72u 186ej84？	有沒有去美國必 buy 什麼的八卦？
1u4 buy ru qul4，1j4b06fm41j4xul3ao3eji6	必 buy 機票，不然去不了美國
xl6ej/ g. bj4gl4 vul 1u4xu4y4b06 low	勞工收入少 消費力自然 low
a/4wu0 fu/4 long ej0 t eji3wu, dji4z8 g/ gp6ak7g4？	明天請 long 官吃鍋貼會發生甚麼事？
jo6ck4u;6u4503dk3u3 idol rm4s065j3rm,6	為何楊一展可以 idol 劇男主角
5p 2k7 a04m4n4ru03njo61u04 buy 2. n0 fu0 c06gjo4	真的 曼谷以前隨便 buy 都三千含稅
d042l4al au, zj  push 2u6y94vu;3gp6ak7？	看到貓咪不 push 的在想什麼？
vup ru8 qi 2;7tj yp3ak7 push u; jp62u6	新加坡當初怎麼 push 英文的
yji4z. vu cj0 2k7 job ru.4wu6a.3tj/6vu/6g4g;42u a94up6？	做不喜歡的 job 就是某種形式上的賣淫？
u.45 2l4a94up62u bp61j4vu3cj0  sell xul4？	又知道賣淫的人不喜歡 sell 了？
dk3…dk3k4，rup wu0 2u w;  good ru03 T____T	可…可惡，今天的湯 good 鹹 T____T
small 2;4ru,7u.4gj cji4a87，dk s06u.3qi4ru,31j4xul32u  case a83	small 當家有輸過嗎，柯南有破解不了的 case 嗎
rm,6fu/ xl3xk7cjo4s86183 small 5 j3g42l 583y941u,6bp61o4g;3	覺青老了會拿把 small 隻武士刀插在別人背上
jo6gp6ak7w961o3zo rup ap6ul u4ek3 small g6	為什麼台北飛金門要一個 small 時
ep 1p 1j4m/4u vul3g6 104vul3g62ji -6n4 good a87	根本不用一小時 半小時多而已 good 嗎
5j4nj4ru.4 good 84 w96284u vm,6fu 9000-6u3	住宿就 good 啊 台大一學期9000而已
ji3fm zj62;4 buy 2u68 ，u ej04sji6tj/6	我去市場 buy 的啊，一串那種
a06 good wu/ 2k7k4 nj0 aup6y941/ vu,4s87u42ji4 1j4b06su3fm t;4d04d04	蠻 good 聽的啊 酸民在崩潰哪一點 不然你去唱看看
rul 1j62l4ru.4ul4gj8 1u3tk4j ?vu/3vu/3 good a83	交不到就要選肥宅喔?醒醒 good 嗎
ao6jo3m6-3yp3ak72ul4 large m6	沒有魚餌怎麼釣 large 魚
e;  buy cj86103vu,62u4bp6，z. ai6h8 u4vu84cp3s04eji 	剛 buy 滑板鞋的人，不摩擦一下很難過
au3eji6d9 504c.4vu84tj06ep vu84gjo3rul4u6u;4 easy ，c93dj/42jo4vm,4ao6bp6dji4u/6	米國開戰後下船跟下水餃一樣 easy ，海空對決沒人會贏
y94q062ji3x84g;3ru8 gp6ak7e/4 easy rm 1i6t/6ej/ 	在潘朵拉上加什麼更 easy 告白成功
xu045j y32.  buy 1j4fu3ru.41u,6rul j;3bk3 fm 294a93103jp4	連珠子都 buy 不起就別交往惹 去代買版問
vul3c96t841j72ji g;4eji6 small 187	小孩差不多上國 small 吧
vu;32l4eji6jp6dk41p32u4ej3bp62.  long u4vu;4	想到國文課本的古人都 long 一樣
ji3vu j;45p 2jo4u vu, wk42u/4t03u,45;3ru  empty q9 	我希望針對一些特定產業長期 empty 拍
large Python	large Python
gp6ak7 skill 2. z. cjo4 5k4vu;4e; cl3	什麼 skill 都不會 這樣剛好
u6j0 sji4ak7ru 18  small ck6tj0 u.4 short gjo3dj42;4b06wu6w96e94ru.4ek3	台灣那麼機八 small 河川又 short 水庫當然是能蓋就蓋
fm 561i3jp4w8 1u4vul4 fast	去直播問他比較 fast
5 2l3 professor g/ 1j4xul32/3yp3ak7104	指導 professor 升不了等怎麼辦
new deru6su06，n4w942u04ru s94tj/6z03sj/6ul4a 	new der一年，台大電機能重返農藥ㄇ?
e9 yp3ak7xu.3vu84 good u4vu;4sk7？	該怎麼留下 good 印象呢？
xup6bj4bj6g4 tool bp6a83?	林月如是 tool 人嗎?
vu;31; su3tjo  fast wji dj4y3	想幫你吹 fast 脫褲子
high qup354tj/ fu4ejo4j862j 1j45 2l4a931j4a932u fu3...	high 品質充氣娃娃都不知道買不買的起...
jo3g4q96ep  large B ru4so3ek31842u42l4ao4?	偉士牌跟 large B 騎哪個把的到妹?
u.4ao6u.3 open 203cp3ejo4vm06cp32ji bp62u 18 ej84?	有沒有 open 丼很貴還很多人的八卦?
ao6wj6jp4gp6ak7ej84！vu06bp6ru8 q06vu0 poy4fu3gp h96 good a83！	沒圖問什麼掛！嫌人家胖先po自己身材 good 嗎！
ao6ru03fm .3ao32u4zo4j484,d0 2l4w96j0  cheap ru.4x961o4qu04u vu84	沒錢去歐美的廢物阿,看到台灣 cheap 就來被騙一下
1o4xu03y94 high c931u,6j94wl3ru,4g41j6g42j6294？	北臉在 high 海拔外套界是不是獨大？
1j4ru.4g454ru03sl42j/41j4ep u62jo 196t gji  overtime zj6nj04z83u31l dji41	不就是之前腦洞部跟一堆白癡說 overtime 費算法已包括1
good x8 sl3vu. ek  ao6mp42j/4t;6541j6ul4tj x96ru3bp6vul4x8 	good 啦腦羞哥 沒運動常識不要出來給人笑啦
bp6u6ao6gp6ak7 good xu03g93	人也沒什麼 good 臉色
ru0 2ji yji4 empty ao6wu/ cji4a87	喊多做 empty 沒聽過嗎
u.4 small al vu; jo42u4ej84a84？	有 small 貓香味的卦嗎？
wul4cl3wu/ 2k7 good a83	超好聽的 good 嗎
g4u.3rup wu0  buy xul4au06u;6u.4	室友今天 buy 了綿羊油
ru8 5j/ 2k72u04g4ru  bad sji6xul3	家中的電視機 bad 掉了
large 5j/4wji61j6g42. s06sm3zp4d9 a86= =?	large 眾池不是都男女分開嗎= =?
s84ao3qu06t;6u.4y94 sell a83？	娜美平常有在 sell 嗎？
cj04vup 2u42u04g4ru.4 good x87	換新的電視就 good 啦
ru041j42k6rmp ej/ rul  good w96j0 bp62u6rul 5.4yp3ak7xul3？	見不得軍公教 good 台灣人的教育怎麼了？
tool bp65 2l4y4fu3qu rm04u;45l6a84	tool 人知道自己被圈養著嗎
5 2l4ru.4z. rul4 tool bp6xk7，wu6g/4ru4g4，g/4ej; 86	知道就不叫 tool 人了，是聖騎士，聖光啊
vul3rul4dk41p3c96jo3vu,4「xu32u04g4ul  keep rm4xu4」a86?	小學課本還有寫「離電視要 keep 距離」嗎?
5o4tj/6vu/6jo4s/6xu4n; u42u6bp6..u.4gp6ak7 good gji 2u6	這種行為能力喪失的人..有什麼 good 說的
2l4g6c.4su3y4ru3 open ek3u;4g4t;3，su3ru.4wu6t;65j3。	到時候你自己 open 個養殖場，你就是場主。
ji3 large 5j/4xu4xu3g/ vm04aup6fu06x941l42l4	我 large 中壢李姓選民前來報導
cj06 good x8  z.3ru.4wu/ 1842u6rm4fu/6a87 yjo4c.4vm06y.3zj3ru84ru4rm6su6	還 good 啦 不就聽爸的劇情嗎 最後還走父嫁結局呢
u6j0 s93xu3u.3 sell x94njo c86？	台灣哪裡有 sell 瀨尿蝦？
good ejo4 fm gp fm03fu cl3xk7	good 貴 去深圳吃好了
vu;4gl4a;6su31u,6sl4xk7， fast ru3ji3cjo62l4vu04294!	項少龍你別鬧了， fast 給我回到現代!
5; x;6e/4q84zo62j4 good a83	蟑螂更怕肥宅 good 嗎
ful h w96s06sk4ek4nj/ g6ak72k7	敲 good ㄘ 台南那個松什麼的
u.3ao6u.4d04j06d83t6sji4rm,6 new jp4cp3vu;3dj 2k718 ej8484	有沒有看完卡提諾狂 new 聞很想哭的八卦啊
cj865j/4fm xj/6+j;3xji42l4wj62u4zo4 video cj06u.3bp6y94d04ji ?	嘩眾取寵+網路盜圖的廢 video 還有人在看喔?
ej03a87rul  bj4fup t/6wk4vu. e93t/6ru zj ru.4 good xk7	幹嘛交 入侵程式修改成績不就 good 了
ji3rm b062u4u4h4d045k4 video	我居然第一次看這 video
co ej83zj4dj941i6，ek6dk4GGu/ e9 ep ru,3u4vu;4 large	黑寡婦會爆，浩克GG應該跟她一樣 large
dj 87c03k4，rul4su3a8 a8 294su3fm  buy j06rm484？	哭啊喊啊，叫你媽媽帶你去 buy 玩具阿？
u045;4vu4nk4 good cp32ji xul3，54ru035p 2u6g.4eji w.6	這張氣色 good 很多了，之前真的瘦過頭
au6vu,6cj8 vul3vul35 2u6ep  small cj86g/ u6vu;4 good vu;3	摩耶花小小隻的跟 small 學生一樣 good 想
64ul yji4g6ak71u4vul4 good ?	64要做什麼比較 good ?
tool bp62941ul3bp6j4wu6？	tool 人代表人物是？
1o3zj6 large 2u618 ej84	北市 large 的八卦
vm,62u04 c96 good ji3wjo4xul3	學店 還 good 我退了
el u62ji42k7dj/3vu45p 2k7qu3rul4 good a87	高一點的空氣真的比較 good 嗎
1j4vu;32j6gj 2k7bp6yl350  job qu3rm,6g6y94 cj06dk3u3xo4ru ru/4u04	不想讀書的人早點 job 比較實在 還可以累積經驗
u.3j6vu/ 18 dk4 fast 1u04t/6a942;7xl62k7186ej84？	有無星巴克 fast 變成麥當勞的八卦？
g6su06xk7 good fast	十年了 good fast
u4yjo s06u4bp62j cji45j;  good a87？	一堆男藝人都化妝 good 嗎？
2; q;4y7jo3gp6ak7 good rm4？	當胖子有什麼 good 處？
1u3rul41j4q84 cold 。ji3g.4tk4，2j/ wu0  cold 2l4vup fu/6cp3 low 。	比較不怕 cold 。我瘦宅，冬天 cold 到心情很 low 。
wu tj/6 low j 100ej/ rup n4vu84wu6gp6ak7e03rul4?	體重 low 於100公斤以下是什麼感覺?
j;3d8 ao4y3u.4 small au4au4a84	網咖妹子有 small 秘密嗎
j;3d8  job cp3cl3j062u  u.3bp6ul3g. ji3a87 z06fu/450 so4vup4	網咖 job 很好玩的 有人要收我嗎 煩請站內信
jo3e.4sl ， fast vul4n3	有夠孬， fast 笑死
z. dji4k4n3 ji3cjo4 buy rrrqu4u03	不會餓死 我會 buy rrr屁眼
buy xul4u6ck xul42u6up3xul4xu3au04u4yjo a84ru3	buy 了也喝了的飲料裡面一堆螞蟻
breakfast 2u04cl3vu;42j cp3a;6?	breakfast 店好像都很忙?
fm4xu/4j94u6ek4zo6tk4wu so42u4ru gj94e/4 high	去另外一個肥宅體內的機率更 high
hji rup4h96z8 vu04youtubeu 2jo xu.3u06gjo35ji6 low 2u4vu84bp6	最近才發現youtube一堆留言水準 low 的嚇人
2j6n jo4294vm,6u06ru. nji3g41j6g4z03s/6qu3vul4 good 1u4u,4	讀私立大學研究所是不是反而比較 good 畢業
qu6vm,62u04vm,6g4 good 84，1u4u,4ru.4u4u,4QQ	比學店學士 good 啊，畢業就失業QQ
good wu/ -6n4x8  xup 1o4u,3g4a.3wk4fu045jo4wjo4j32k7 gj;32u6xo7	good 聽而已啦 拎北也是某特遣隊退伍的 爽的勒
u su/4d0 tl4eji 50q.32u04u/3nj04 normal a86？	一年看超過50部電影算 normal 嗎？
t;4n0  small gjo65jp3su3t;4bji4	唱三 small 誰准你唱惹
h04ru8  large jo4m41u4n94cjo4u.3g6ak7ck6tj4	參加 large 胃王比賽會有什麼害處
ru; wu062l31/ 186ep 5p41u/4jo3gjo62u4g/ up 1u3rul4 large ?	江田島平八跟陳平偉誰的聲音比較 large ?
c93vu041845j4rm4u,4，yj/ w965j/ cji3rm 50 2l4g84xj453ul4q04 small g6	海線霸主巨業，從台中火車站到沙鹿只要半 small 時
jo4gp6ak7b41p u6yjo  large s93y3sm3g/ 2u418 ej84	為什麼日本一堆 large 奶子女生的八卦
ej035p 2u4 Aq04xu3au042j  large s93u.4tl45/4 fm45; 	幹真的 A片裡面都 large 奶又超正 誇張
jo4g/ rm6 fast fm t96,sj4z8610j04	衛生局 fast 去查,怒罰10萬
ji3wu6qu3rul4vu;3d0 2l4 new 2u45/4bp6wul4tj x96bp6c.4fu3nj4w8 x8 	我是比較想看到 new 的證人跳出來人後起訴他啦
normal t/6su06s06y3cjo42jo4el 5j/ 56sm3g/ u.4vu/4hj4a87？	normal 成年男子會對高中職女生有興趣嗎？
jo3 good tj42k72u4z; u62u/4u.3bp6y94 u.3bp6y942u 2u4z; u62u/4jo3zp 5/4	有 good 處的地方一定有人在 有人在的地方一定有紛爭
ru03rm3m4 w8 zj 2;71035j4c96 good 2;41035j3cp3dj/31j4	檢舉王 他不當版主還 good 當版主很恐怖
ji3d0 u yjo bp6y.3n4c.4rm aul3 open	我看一堆人走以後車秒 open
t6u.3ao3rup4 good vm06wu6xu.4w9 1u4 good	持有美金 good 還是留台幣 good
c96 good 18 ，1j4u 562ji4wj/6u;42k72j/ vu ru.4 good x87	還 good 吧，不一直點同樣的東西就 good 啦
vm,6xu4 low 2u bp6g41j6g4m/3u4ru041j42k6bpc 	學歷 low 的人是不是容易見不得ㄖㄣㄏ
5j/ s061j42;4g/4xu4fm ul yji4g6ak7 job	中南部當勝利組要做什麼 job
sj/6t03mp4vul ，s86xm4g932;35/4u;32u4z; 5/ 54 small ru6wj06ql65/ zj3ej/ t/6	農產運銷，拿綠色黨政養地方政治 small 集團包政府工程
183y4fu32u. y94zo 5. 2ji ru.3w96rul4 good zo35. m3？	把自己丟在非洲多久能學 good 非洲語？
NBAx06fu.6u.3u ek4dj; dj; g4nji vu6cj04x06 pro 2u 	NBA藍球有一個框框是抄襲灌籃 pro 的
5j ru03cp3 in y94wj06e.4，u4vu;45j/4u,3ao6u.4cp3 cheap	之前很 in 在團購，印象中也沒有很 cheap
ao6h.4fmp6 good ji4vup 	某族群 good 噁心
u.3ao6u.3vul4wu6 sell 2u bp6ul35/4a/4…	有沒有效是 sell 的人要證明…
new buy 2u65XLso4dj4vm ul4vu0 vu03h96s/6m0 a84	new buy 的5XL內褲需要先洗才能穿嗎
vul3xji6t6！！！ good vu;  good bj032u4e03rm,6！	小蘿莉！！！ good 香 good 軟的感覺！
u3ru03tl494m/4 c.4x96d042l4jo bj035/ co ru.4z8 vu04gl4sm3wu3u.4e.4 ugly	以前超愛用 後來看到微軟正黑就發現少女體有夠 ugly
xj/4ru03 large fu84rm ru8 g3xm3gk4jo3el3w.7a86?	弄間 large 客車駕駛旅社有搞頭嗎?
vu04y94d0  rul42k71j4cl3d04 small g6c.4rul42k6x;6a04	現在看 覺得不好看 small 時候覺得浪漫
g/4ru,654ep 1p qu4c96,bangn0  small d0 xk7ru.4vu;3y862u04sl4	聖結實根本屁孩,bang三 small 看了就想砸電腦
cj8 6800 buy nmd 2u y94vu;3g6ak7？	花6800 buy nmd 的在想什麼？
z;4y94ru84g;4rm,61j4s862k7vup  u06g93u6w94 ugly	放在架上絕不拿的款 顏色也太 ugly
u. u dj4w961u4ep b41u4 sell 2u6ru84xu4g4ao6u.3t842l4w8 2ji 18 	優衣褲台幣跟日幣 sell 的價位是沒有差到太多吧
911ru4b.4u.4ej03 long w94dj94a84？dj94wu0 wu0 cj86bp6gj u/6a83？ao6jo3a86	911肌肉有館 long 大塊嗎？會天天找人輸贏嗎？沒有嘛
u04dk31j6g4u6e. u.454ru.45j; ao6y4 good a86XD	這可不是一句幼稚就裝沒事 good 嗎XD
u.4ao6u.42;7tj6g w8  ugly u61j4vu/62u418 ej84	有沒有當廚師太 ugly 也不行的八卦
g.3u6u.4gji ul4294wji62u4 small n0 fm4u4vu04xul4 vu;3ul4dk3u3u4fu3ru8 u.6	守一有說要帶他的 small 三去釋憲了 想要可以一起加油
1u4fu3sm3bp6，ji3vu04y94e/ vu;35j04cl32ji 2u4ru03 buy t4cj0 2u62j/ vu 	比起女人，我現在更想賺好多的錢 buy 喜歡的東西
buy g.31ul3fm gj04ejo4c96g45j/ 1ul3vu/4 good	buy 手錶去專櫃還是鐘錶行 good
ao6ek37jo4gj32u61ul3su3njo6qu06j;31i6 buy ru.4cl3xk7	沒個7位數的錶你隨便網拍 buy 就好了
ao6y94 buy xul3，vu04y942.  buy ej04w.72u6d; 1l3	沒在 buy 了，現在都 buy 罐頭的康寶
n4ru/  bad n3xk7，zj ru03sji6cjo4w;3284jo ru6g/ au/4	已經 bad 死了，不剪掉會擴大危及生命
2ji 2842k7g.3ru qu/6aj4d04g41up qu3rul4 good ？	多大的手機屏幕看視頻比較 good ？
d0 d83wj/ 1up 2l4 good xul3	看卡通頻道 good 了
xu03vu86ktvzj dji4yl3 open x87e04u456t;4	連假ktv不會早 open 啦幹一直唱
360 safe jo4g4dji4zj dji4z03tj04t/65p ？	360 safe 衛士會不會反串成真？
w. vm/ 5l4cp56cp3 low ?	偷胸罩cp值很 low ?
fast g3m/4gj; ru,6ejp3？	fast 使用雙截棍？
u.3w8 1j4ep ji3cl3，su3u61j4s/6ep w8  good 2u 186ej84a86？	有他不跟我好，你也不能跟他 good 的八卦嗎？
u.4 high bp6dk3u3vu,4u4w8 y94gji gp6ak7a84	有 high 人可以解釋他在說什麼嗎
y945/4 large su042u04h6cj86wu6gk3ai ejo4su04	在政 large 唸電磁學是捨摸概念
ji32;41u/ g6 long ej0 2j gji d.3ru,6y4vu/6ck gjo3o6	我當兵時 long 官都說口渴自行喝水欸
DWu.32ji  good su3dk3u3fm watch103286wu/ u4vu84	DW有多 good 你可以去watch版打聽一下
u.6cjo j;6qu3rul4cl3d04 z03q94ji4vup 2k7t/62j4 rm4fu/6bk4vm,4t/62j4e/  high	遊戲王比較好看 反派噁心的程度 劇情熱血程度更 high
su3wu6 sell n4t8618cl6a87？	你是 sell 台茶18號嗎？
d04xu03 zo6tk4tj0 g6ak72j  ugly zj cji4ao6bp6dji4d04nji3u3ao6j03vu4	看臉 肥宅穿什麼都 ugly 不過沒人會看所以沒關係
cj06 good vu04y94ru842l4ao3eji6s86xm4d831j6g4294xm4al4	還 good 現在嫁到美國拿綠卡不是戴綠帽
y94w9 j0 2k71i6bp6sm3g/  jo6g6ak7 large w8 u;6cp3gl4t/ n03?	在台灣的白人女生 為什麼 large 太陽很少撐傘?
up jo41i65j/4bp6g94co g4 pretty 2u ej3wj/6g93，cj;6tj/6bp6 easy g94t/6y; y;3	因為白種人曬黑是 pretty 的古銅色，黃種人 easy 曬成髒髒
cjo4fm4gp ru8 vu,4g u042u 2. wu6s83vu,  professor 8 	會去參加謝師宴的都是哪些 professor 啊
jo4gp6ak7ru/4ru4ru4qu6fu3ej03ru4zp4gji4c96 low 84	為什麼經濟系比企管系分數還 low 啊
dl4 s83n0 qj3 long 2k7u6w94vu;4xul3	靠 那三普 long 得也太像了
sell t 2u4t;6t;6y945; 5m06yp3ak7vm06g4c03t/ 1j4vu84fm ?	sell 吃的常常在漲5元怎麼還是喊撐不下去?
yjo4tl62u4s84tj/6 good zj ，2j 5j tj6ek3x96ao3ru03rup4xul4	最潮的那種 good 不，都朝著葛萊美前進了
yp3z.3fm4 buy m/3cj62.4ru;42u6eji wu, 83	怎不去 buy 永和豆漿的鍋貼啊
u.3ao6u.3wu6el g.4ru,7y94 discount 2u618 ej84?	有沒有提高售價再 discount 的八卦?
sm3yji4ru8 vu,4 small gji dj94q861u35962u/4xu4g6ak7rm,6nk4？	女作家寫 small 說會把肥宅定位什麼角色？
ep yj/ dj;6 tool bp6 5/3wu0 d042j/4a042u 1u04w94	跟蹤狂 tool 人 整天看動漫的變態
cjo41u4 open 561i3b06c.4qu4yjo3ql6	會被 open 直播然後被嘴炮
xl3ej/ n32ul42u4dk3s/6vu/4qu3rm,6 high q8 	老公死掉的可能性比較 high 吧
bp6vu84ru ，2j dji4eo3vm06z.3vu 2u41j3t;6，1o4 pull 2u bp6u,3vup c0 fu/6m03	人下機，都會給還不錯的補償，被 pull 的人也心甘情願
b4y86j;3aup61ul354 good 1i6 cl31o 1o i4	日雜皇民表示 good 怕 好悲悲哦
xm3vu/6u/ m06tj06d04d04ru.4 good j06fm061j4s/6fu 	旅行應援團看看就 good 完全不能吃
ji3ep ru, u g4 good q/6u.3s/6u3 ji3ap62j cp3vup g;31u3h3	我跟結依是 good 朋友而已 我們都很欣賞彼此
53dj94ru0 1i fu062u6vu;4aup6 perfect z03u;3u6j0 bp6wk4vu/4?	只會喊發錢的鄉民 perfect 反映台灣人特性?
2u. 1o4c062u 584204g;4au04vu,3sk6rm4u/ jp6 good ?	丟北韓的炸彈上面寫哪句英文 good ?
1p31u32j42u6ej ej  long 2.42.4yp3ak7104 (u.4wj6)	本肥宅的菇菇 long 痘痘怎麼辦 (有圖)
good 2ul3 ej/ dji42u/4tj ej/ 2u/4fu83ck4dj94z.3dj94w942ul3	good 屌 公會定出公定價格會不會太屌
vu04y94nji3jo4u,4ru,4ai4fu4ej/ 2u/4fu83u.4w8  high xk7	現在所謂業界默契公定價又太 high 了
jo3ao6u.4app update vm4gj4vu;31ul3w84g6ak72u6ej84	有沒有app update 敘述想表達什麼的卦
1.vu,3xk7 user u6d0 z. 2j/3 2.u.3y4gj4jp354	1.寫了 user 也看不懂 2.有字數限制
ji3jo4xul3hk4g45 5j ul3bp62u6wj/42j4 5j8 eji7 good fu65j/3ej xu3tj ao62u 	我為了測試蜘蛛咬人的痛度 抓過 good 幾種家裡出沒的
dj948  ji3ru8 2u e.32. 1j4xu3vul3vu/6e.3 d0 2l4au/4ejo4 large e.3ru.4fu0 vup 	會啊 我家的狗都不理小型狗 看到名貴 large 狗就開心
286e.31u/3bji4～1j4-4ej ep rup3zj6g4su32k7 good vm04u4	打狗餅弱～不二家跟錦福是你的 good 選擇
PTTjo3104z83ao35. yji4PTTrm,6 new jp6a83？	PTT有辦法每周做PTT狂 new 聞嗎？
jo4gp6ak7 new tj 1032k7gj ，ru.4u.42u/4ru84wk4cjo4fu83hji 1u,6	為什麼 new 出版的書，就有定價特惠價差別
w96s06 fast fm3ek4xu.4bj3187 w96sm4qo4z.3g;3el ejo42k7n4s06	台男 fast 娶個陸女吧 台女配不上高貴的台男
g4g; ru 54 b06c.4u,31j6g41u4vm qup3 u.4g86 good 1j4ck6xu3	市場機制 然後也不是必虛品 有啥 good 不合理
fu/3jp4Uau4U sell q042l32u,60 ?	請問U迷U sell 半島鐵盒?
1j4cl3u4n ji3ap41j4 sell fm/6ejo3i 	不好意思我們不 sell 窮鬼喔
bp6g/ 2u4u6w9 e94rm  buy zj4g3bj6ck6?c8 !	人生第一台汽車 buy 福斯如何?呵!
cp3dk494 good 1j4	很可愛 good 不
job t;3nji3y9456vul ej/ h6zj rup4e9 yp3ak7104	job 場所在直銷公司附近該怎麼辦
82u03g;3ru84 su35j/4j3h962u/4 fu06au042j 1j6542ji gl3bp6 buy xul4	8點上架 你中午才訂 前面都不知多少人 buy 了
u4xu4u6vu. bj6eji3 cancel rul4ru/ dj94y04t/6c96g4z042jo4	一例一休如果 cancel 覺青會贊成還是反對
jo6g6ak71j4 control ru4t/6rm 2u 1i 5l4gj3xu;4?	為什麼不 control 計程車的發照數量?
t4w96rul4fu/ rup wu0 u.4 overtime zj6，ru42o3ep h94xl3103gji 	滯台覺青今天有 overtime 費，記得跟菜老板說
y4ru35j3u ek4xu3196xul3 m4w8  large	自己煮一個禮拜了 雨太 large
1j6g4gji  pay 1i 1j4tj x96xul3？KMTxji3b06g4u 5j/3vup4u;3？1o 9 	不是說 pay 發不出來了？KMT果然是一種信仰？悲哀
1j4m/42ji ru.3xul4 y9418ek4 small g6ru.45 2l4gjo6ao6tj0 dj4y7	不用多久了 再18個 small 時就知道誰沒穿褲子
w96j0 vu04y94n4ru/4ao6u.4sm3y3 large cj86xul4	台灣現在已經沒有女子 large 學了
w94u,4 good rup4fm4a84	大葉 good 進去嗎
q;6ru04xu32u g6j4z.  match xu04vm4z; t/6g4	房間裡的食物不 match 連續方程式
m06x94ji3g;410 2. hj/ wul m062l4vup 5j6y942l4wul m06 long 54g6xk7	原來我上班都從桃園到新竹再到桃園 long 知識了
54ru032u04y3u0 cp3 in vu04y94g41j6g4wjo4tl6xk7？	之前電子菸很 in 現在是不是退潮了？
ru;42u g4 515151 good a84	紅的是 515151 good 嗎
bj6ck61u04t/6u6ek3 good u,4al4	如何變成一個 good 業務
h gk6ai6?	breakfast ㄘ蛇摸?
t. u0 jo3g6ak7a87 zj cji4bj6eji3g42j/ c93eji6 small u6s06ej94x8 	抽煙有什麼嗎 不過如果是東海國 small 也難怪啦
1j6ul4x;4zo4fu06 good a84	不要浪費錢 good 嗎
su3bp6u6w94 good k4 z. 2jo4 su3ru.4wu6su3q/6u.3	你人也太 good 啊 不對 你就是你朋友
a8 a8 ～jo3ek4 weird 2u gj gj u456d04ji3！ good j4vup 	媽媽～有個 weird 的叔叔一直看我！ good 噁心
se4 jo32ul42042k7ru xm4cp3 high	嗯 有跳蛋的機率很 high
eji4a;65. ul 183zo6596z;4y94sk6ek4 location h96cjo4u/6?	划龍舟要把肥宅放在哪個 location 才會贏?
ai6bp6qj3j y94gjo4n0  small ？	魔人普烏在睡三 small ？
u.3bp6 buy eji costco good zj62ji 2u6j;3e.4u zj6a87？	有人 buy 過costco good 市多的網購衣服嗎？
good u.32l4xu3！！	good 有道理！！
x94rul4wu6e/3fu3x94 easy c96wu6bj03sji6 easy ？	懶叫是硬起來 easy 還是軟掉 easy ？
buy photoshop cheap cj06g4 buy vu41l cj6b03ru4 cheap ?	buy photoshop cheap 還是 buy 細胞核染劑 cheap ?
small cj84ru871j4m/4fu06	small 畫家不用錢
